"category_name","product_name","ORDER DOLLARS"
"Beverages","Chai",489.5999870300293
"Beverages","Chang",911.9999885559082
"Beverages","Côte de Blaye",20869.200302124023
"Beverages","Lakkalikööri",489.5999870300293
"Beverages","Outback Lager",96
"Beverages","Steeleye Stout",1367.999963760376
"Condiments","Aniseed Syrup",400
"Condiments","Gula Malacca",620
"Condiments","Louisiana Fiery Hot Pepper Sauce",335.99998474121094
"Condiments","Original Frankfurter grüne Soße",467.9999828338623
"Condiments","Sirop d'érable",364.79998779296875
"Condiments","Vegie-spread",3509.9998474121094
"Confections","Chocolade",713.9999866485596
"Confections","Gumbär Gummibärchen",1792.7999725341797
"Confections","Maxilaku",960
"Confections","Pavlova",291.89999198913574
"Confections","Scottish Longbreads",660
"Confections","Sir Rodney's Scones",736
"Confections","Tarte au sucre",2955.000114440918
"Confections","Teatime Chocolate Biscuits",306.60000801086426
"Confections","Valkoinen suklaa",520
"Confections","Zaanse koeken",645.9999918937683
"Dairy Products","Camembert Pierrot",1632.0000457763672
"Dairy Products","Flotemysost",1290.000057220459
"Dairy Products","Geitost",238
"Dairy Products","Gorgonzola Telino",140
"Dairy Products","Gudbrandsdalsost",1007.9999732971191
"Dairy Products","Queso Cabrales",503.9999771118164
"Dairy Products","Raclette Courdavault",5060
"Grains/Cereals","Gnocchi di nonna Alice",3191.9999599456787
"Grains/Cereals","Ravioli Angelo",312.00000762939453
"Grains/Cereals","Singaporean Hokkien Fried Mee",447.99999237060547
"Grains/Cereals","Tunnbröd",431.9999885559082
"Grains/Cereals","Wimmers gute Semmelknödel",186.2000026702881
"Meat/Poultry","Alice Mutton",3026.400074005127
"Meat/Poultry","Mishi Kobe Niku",1551.9999694824219
"Meat/Poultry","Pâté chinois",192.00000762939453
"Meat/Poultry","Perth Pasties",655.0000190734863
"Meat/Poultry","Thüringer Rostbratwurst",2079
"Meat/Poultry","Tourtière",271.40000438690186
"Produce","Longlife Tofu",120
"Produce","Rössle Sauerkraut",1528.800064086914
"Produce","Tofu",1246.2000255584717
"Seafood","Boston Crab Meat",764.3999900817871
"Seafood","Gravad lax",207.99999237060547
"Seafood","Inlagd Sill",75.99999904632568
"Seafood","Jack's New England Clam Chowder",192.49999523162842
"Seafood","Konbu",9.600000381469727
"Seafood","Nord-Ost Matjeshering",372.60001373291016
"Seafood","Röd Kaviar",240
"Seafood","Spegesild",211.20000839233398
